reference_driver_code,comparison_driver_code,team,year,race_name,session_name,session_kind,matched_gap_median_s,matched_gap_se_s,n_matched_pairs,weather_bucket,skip_reason
ALB,SAI,Williams,2026,Australian Grand Prix,Race,race,0.26599999999999113,0.13529543617672996,25,dry,
ANT,RUS,Mercedes,2026,Australian Grand Prix,Race,race,0.07499999999998863,0.07207887290737977,37,dry,
BEA,OCO,Haas F1 Team,2026,Australian Grand Prix,Race,race,0.465999999999994,0.13165311881405276,31,dry,
BOT,PER,Cadillac,2026,Australian Grand Prix,Race,race,0.6730000000000018,0.9210393241104234,9,dry,
COL,GAS,Alpine,2026,Australian Grand Prix,Race,race,-0.7115000000000009,0.20524837484590275,20,dry,
HAM,LEC,Ferrari,2026,Australian Grand Prix,Race,race,0.09299999999999642,0.0625016469632244,32,dry,
LAW,LIN,Racing Bulls,2026,Australian Grand Prix,Race,race,-0.8164999999999978,0.13521286677107514,22,dry,
ALO,STR,Aston Martin,2026,Australian Grand Prix,Race,race,,,0,,insufficient_matched_pairs
BOR,HUL,Audi,2026,Australian Grand Prix,Race,race,,,0,,missing_lap_time_data
NOR,PIA,McLaren,2026,Australian Grand Prix,Race,race,,,0,,missing_lap_time_data
HAD,VER,Red Bull Racing,2026,Australian Grand Prix,Race,race,,,0,,insufficient_matched_pairs
ANT,RUS,Mercedes,2026,Australian Grand Prix,Qualifying,qualifying,-0.4480000000000075,0.3666793046550508,3,dry,
BEA,OCO,Haas F1 Team,2026,Australian Grand Prix,Qualifying,qualifying,-0.07350000000000279,0.28750691745009843,6,dry,
BOR,HUL,Audi,2026,Australian Grand Prix,Qualifying,qualifying,0.5389999999999944,0.22764456360010973,4,dry,
COL,GAS,Alpine,2026,Australian Grand Prix,Qualifying,qualifying,-0.7189999999999941,0.24665187234370026,5,dry,
HAM,LEC,Ferrari,2026,Australian Grand Prix,Qualifying,qualifying,-0.15099999999999625,0.13529610890718766,3,dry,
LAW,LIN,Racing Bulls,2026,Australian Grand Prix,Qualifying,qualifying,1.0889999999999986,0.601830105995382,3,dry,
NOR,PIA,McLaren,2026,Australian Grand Prix,Qualifying,qualifying,-0.19750000000000512,0.2820673706901265,4,dry,
