session_kind,holdout_year,split_mse_s2,best_shared_policy,best_shared_mse_s2,delta_mse_s2,split_wins
combined,2022,0.5568109406109374,shared_long_run,0.5525110378465674,0.004299902764369978,False
combined,2023,0.3849655556971971,shared_long_run,0.39819696564902046,-0.01323140995182337,True
combined,2024,0.35670030639413014,shared_short_run,0.3645386407062308,-0.007838334312100681,True
combined,2025,0.5107899989263505,shared_long_run,0.5043398094125109,0.006450189513839577,False
qualifying,2022,0.4925978622985713,shared_long_run,0.4826862220281593,0.00991164027041197,False
qualifying,2023,0.304376139271325,shared_short_run,0.304376139271325,0.0,False
qualifying,2024,0.18726920117748685,shared_short_run,0.18726920117748685,0.0,False
qualifying,2025,0.45020128207641297,shared_long_run,0.4346180808615617,0.015583201214851294,False
race,2022,0.6060131694476854,shared_long_run,0.6060131694476854,0.0,False
race,2023,0.4500570074257861,shared_long_run,0.4500570074257861,0.0,False
race,2024,0.5144465078027289,shared_long_run,0.5144465078027289,0.0,False
race,2025,0.5535807802016188,shared_long_run,0.5535807802016188,0.0,False
