policy,profile,session_kind,holdout_year,n_rows,intercept_s,slope_s_per_unit,mse_s,rmse_s,r_squared
shared_balanced,balanced,combined,2022,544,,,0.5883758051384308,0.7670565853562765,0.32367688908738956
shared_long_run,long_run,combined,2022,544,,,0.5525110378465674,0.7433108621879324,0.3649025322480274
shared_short_run,short_run,combined,2022,544,,,0.576625547714484,0.7593586423518758,0.33718351289072224
split_short_quali_long_race,mixed,combined,2022,544,,,0.5568109406109374,0.7461976551899218,0.35995990274351164
shared_balanced,balanced,combined,2023,94,,,0.398729458267345,0.6314502817066004,0.19816609733418467
shared_long_run,long_run,combined,2023,94,,,0.39819696564902046,0.6310284982859494,0.19923692524879955
shared_short_run,short_run,combined,2023,94,,,0.41431312537574416,0.6436715974592511,0.16682777417724748
split_short_quali_long_race,mixed,combined,2023,94,,,0.3849655556971971,0.6204559256685338,0.22584492438070292
shared_balanced,balanced,combined,2024,112,,,0.4315940282690874,0.656958163256297,0.23610622848850837
shared_long_run,long_run,combined,2024,112,,,0.3660586850154709,0.6050278382152932,0.35209958624204263
shared_short_run,short_run,combined,2024,112,,,0.3645386407062308,0.6037703542790345,0.3547899672579867
split_short_quali_long_race,mixed,combined,2024,112,,,0.35670030639413014,0.597243925372314,0.36866331667399255
shared_balanced,balanced,combined,2025,546,,,0.559774084803401,0.7481805161880393,0.12793965928502105
shared_long_run,long_run,combined,2025,546,,,0.5043398094125109,0.7101688597879457,0.2142995576744683
shared_short_run,short_run,combined,2025,546,,,0.521984649657033,0.722485051511125,0.18681103004657096
split_short_quali_long_race,mixed,combined,2025,546,,,0.5107899989263505,0.7146957387072841,0.20425094231727348
shared_balanced,balanced,qualifying,2022,236,-0.15443654801353285,0.3747655157128676,0.515149251378284,0.7177389855499589,0.3134132760775309
shared_long_run,long_run,qualifying,2022,236,-0.1706258453834823,0.6884585219518385,0.4826862220281593,0.694756232090191,0.35667973703125966
shared_short_run,short_run,qualifying,2022,236,-0.17301534768878868,0.6521235287425017,0.4925978622985713,0.7018531629184065,0.3434695836558004
split_short_quali_long_race,short_run,qualifying,2022,236,-0.17301534768878868,0.6521235287425017,0.4925978622985713,0.7018531629184065,0.3434695836558004
shared_balanced,balanced,qualifying,2023,42,-0.15248581656451676,1.0206795074106538,0.3350006203379469,0.5787923810296287,0.10678963519466345
shared_long_run,long_run,qualifying,2023,42,-0.16288874378124335,1.1009584968569597,0.33398929487778684,0.5779180693470198,0.10948612686770953
shared_short_run,short_run,qualifying,2023,42,-0.17185053548672932,1.0632353764542508,0.304376139271325,0.5517029447731134,0.1884435255005883
split_short_quali_long_race,short_run,qualifying,2023,42,-0.17185053548672932,1.0632353764542508,0.304376139271325,0.5517029447731134,0.1884435255005883
shared_balanced,balanced,qualifying,2024,54,-0.14895827867981862,1.0014149220783608,0.232415955452562,0.4820953800365255,0.3246512410653938
shared_long_run,long_run,qualifying,2024,54,-0.16195588045450324,1.06160129536073,0.20667917165137897,0.4546198100076359,0.39943657568345914
shared_short_run,short_run,qualifying,2024,54,-0.16548769770227365,1.035968540711079,0.18726920117748685,0.43274611630549253,0.45583760652050065
split_short_quali_long_race,short_run,qualifying,2024,54,-0.16548769770227365,1.035968540711079,0.18726920117748685,0.43274611630549253,0.45583760652050065
shared_balanced,balanced,qualifying,2025,226,-0.16704475106600855,1.277196248393181,0.47843930027756776,0.6916930679698675,0.022550412618931648
shared_long_run,long_run,qualifying,2025,226,-0.17251460793377763,1.2212075857370368,0.4346180808615617,0.6592557021835774,0.1120769895783511
shared_short_run,short_run,qualifying,2025,226,-0.18142807614440729,1.2577541148643363,0.45020128207641297,0.6709704032790217,0.0802405714816441
split_short_quali_long_race,short_run,qualifying,2025,226,-0.18142807614440729,1.2577541148643363,0.45020128207641297,0.6709704032790217,0.0802405714816441
shared_balanced,balanced,race,2022,308,0.014446787534860655,0.8782797532295579,0.6444844632143875,0.8027978968671925,0.32131537662722187
shared_long_run,long_run,race,2022,308,0.01835020212587736,1.3908744386571885,0.6060131694476854,0.7784684768490535,0.36182818494302493
shared_short_run,short_run,race,2022,308,0.011718592505146124,1.1466245167034248,0.6410103975786251,0.8006312494392316,0.3249737967477321
split_short_quali_long_race,long_run,race,2022,308,0.01835020212587736,1.3908744386571885,0.6060131694476854,0.7784684768490535,0.36182818494302493
shared_balanced,balanced,race,2023,52,0.06682000172945769,1.2120551776232364,0.45020275044108965,0.6709714974878513,0.2422157136030766
shared_long_run,long_run,race,2023,52,0.07170465099401004,1.5025203510705154,0.4500570074257861,0.6708628827307307,0.24246102922307433
shared_short_run,short_run,race,2023,52,0.062454250211243394,1.3539325399915239,0.5031083833831596,0.7093013346830525,0.15316459770894997
split_short_quali_long_race,long_run,race,2023,52,0.07170465099401004,1.5025203510705154,0.4500570074257861,0.6708628827307307,0.24246102922307433
shared_balanced,balanced,race,2024,58,0.059406685810125245,1.252850821425949,0.61703568227068,0.7855161884205061,0.19430686440416967
shared_long_run,long_run,race,2024,58,0.06227848081581646,1.4751734494024498,0.5144465078027289,0.7172492647627664,0.32826247836655964
shared_short_run,short_run,race,2024,58,0.055013324110034095,1.333871622087109,0.5295826016467855,0.7277242620984857,0.30849855342624966
split_short_quali_long_race,long_run,race,2024,58,0.06227848081581646,1.4751734494024498,0.5144465078027289,0.7172492647627664,0.32826247836655964
shared_balanced,balanced,race,2025,320,0.06390943999651938,1.362578647527459,0.6172167763747707,0.7856314507291384,0.17189365914477084
shared_long_run,long_run,race,2025,320,0.06723358428902522,1.5011866217955434,0.5535807802016188,0.7440300936128987,0.2572726928242257
shared_short_run,short_run,race,2025,320,0.05295180215292644,1.2993993688784202,0.5726816530108458,0.7567573276889005,0.2316454667107446
split_short_quali_long_race,long_run,race,2025,320,0.06723358428902522,1.5011866217955434,0.5535807802016188,0.7440300936128987,0.2572726928242257
