year,race_name,is_normal_weekend,cache_event_dir,available_sessions
2022,Abu Dhabi Grand Prix,True,data/raw/.fastf1_cache/2022/2022-11-20_Abu_Dhabi_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Australian Grand Prix,True,data/raw/.fastf1_cache/2022/2022-04-10_Australian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Austrian Grand Prix,False,data/raw/.fastf1_cache/2022/2022-07-10_Austrian_Grand_Prix,"['practice1', 'practice2', 'qualifying', 'race']"
2022,Azerbaijan Grand Prix,True,data/raw/.fastf1_cache/2022/2022-06-12_Azerbaijan_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Bahrain Grand Prix,True,data/raw/.fastf1_cache/2022/2022-03-20_Bahrain_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Belgian Grand Prix,True,data/raw/.fastf1_cache/2022/2022-08-28_Belgian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,British Grand Prix,True,data/raw/.fastf1_cache/2022/2022-07-03_British_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Canadian Grand Prix,True,data/raw/.fastf1_cache/2022/2022-06-19_Canadian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Dutch Grand Prix,True,data/raw/.fastf1_cache/2022/2022-09-04_Dutch_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Emilia Romagna Grand Prix,False,data/raw/.fastf1_cache/2022/2022-04-24_Emilia_Romagna_Grand_Prix,"['practice1', 'practice2', 'qualifying', 'race']"
2022,French Grand Prix,True,data/raw/.fastf1_cache/2022/2022-07-24_French_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Hungarian Grand Prix,True,data/raw/.fastf1_cache/2022/2022-07-31_Hungarian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Italian Grand Prix,True,data/raw/.fastf1_cache/2022/2022-09-11_Italian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Japanese Grand Prix,True,data/raw/.fastf1_cache/2022/2022-10-09_Japanese_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Mexico City Grand Prix,True,data/raw/.fastf1_cache/2022/2022-10-30_Mexico_City_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Miami Grand Prix,True,data/raw/.fastf1_cache/2022/2022-05-08_Miami_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Monaco Grand Prix,True,data/raw/.fastf1_cache/2022/2022-05-29_Monaco_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Saudi Arabian Grand Prix,False,data/raw/.fastf1_cache/2022/2022-03-27_Saudi_Arabian_Grand_Prix,"['qualifying', 'race']"
2022,Singapore Grand Prix,True,data/raw/.fastf1_cache/2022/2022-10-02_Singapore_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,Spanish Grand Prix,True,data/raw/.fastf1_cache/2022/2022-05-22_Spanish_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2022,São Paulo Grand Prix,False,data/raw/.fastf1_cache/2022/2022-11-13_São_Paulo_Grand_Prix,"['practice1', 'practice2', 'qualifying', 'race']"
