session_kind,policy,n_rows,weighted_mse_s2,weighted_rmse_s
combined,shared_long_run,1296,0.504910978410883,0.710570882045474
combined,split_short_quali_long_race,1296,0.5076648824520189,0.7125060578353134
combined,shared_short_run,1296,0.5235043813378373,0.7235360262888347
combined,shared_balanced,1296,0.5490217504176169,0.7409600194461351
qualifying,shared_long_run,558,0.42531516187706103,0.6521619138504341
qualifying,shared_short_run,558,0.4317113261016346,0.6570474306331581
qualifying,split_short_quali_long_race,558,0.4317113261016346,0.6570474306331581
qualifying,shared_balanced,558,0.45936020221619617,0.6777611690088154
race,shared_long_run,738,0.5650931811559678,0.7517267995461967
race,split_short_quali_long_race,738,0.5650931811559678,0.7517267995461967
race,shared_short_run,738,0.5929088865164296,0.770005770443592
race,shared_balanced,738,0.6168146283260082,0.7853754696487586
