target_id,year,team,reference_driver,comparison_driver,phase5_valid_rows,phase5_wls_mean_delta_s,phase5_equal_mean_delta_s,phase5_wls_vs_equal_abs_shift_s,current_rows,current_equal_mean_delta_s,current_session_sd_s,highest_common_best_rows,highest_common_best_equal_mean_delta_s,highest_common_best_session_sd_s,any_valid_best_rows,any_valid_best_equal_mean_delta_s,any_valid_best_session_sd_s,peak_row_gain_vs_current,current_vs_peak_mean_shift_s,artifact_cache_delta_mismatch_count
2022:Alfa Romeo:BOT-ZHO,2022,Alfa Romeo,BOT,ZHO,15,0.254178218741175,0.06576666666666615,0.18841155207450888,15,0.06576666666666615,0.7138909447194153,22,0.16577272727272752,0.802772335147346,22,0.17499999999999846,0.9505985583029337,7,0.10000606060606136,0
2022:AlphaTauri:GAS-TSU,2022,AlphaTauri,GAS,TSU,13,-0.06295145081619981,-0.059346153846155186,0.003605296970044622,13,-0.059346153846155186,0.4531699177559965,20,0.14924999999999927,0.5531371653434708,20,0.2534000000000006,1.1381695091588706,7,0.20859615384615446,0
2022:Alpine:ALO-OCO,2022,Alpine,ALO,OCO,15,0.20235175532565544,0.2954666666666663,0.09311491134101088,15,0.2954666666666663,0.33057636175682775,21,0.2233333333333339,0.6211904968150539,21,0.5652857142857154,1.5258590414208362,6,-0.07213333333333241,0
2022:Aston Martin:HUL-STR,2022,Aston Martin,HUL,STR,1,-0.3810000000000002,-0.3810000000000002,0.0,1,-0.3810000000000002,,2,-0.016000000000005343,0.3832518754031099,2,-0.016000000000005343,0.3832518754031099,1,0.3649999999999949,0
2022:Aston Martin:STR-VET,2022,Aston Martin,STR,VET,10,0.014000714621805835,0.01810000000000116,0.004099285378195325,10,0.01810000000000116,0.3758303991016282,18,-0.1074444444444443,0.37354851991679416,18,-2.2522222222222243,8.907340723877239,8,-0.12554444444444546,0
2022:Ferrari:LEC-SAI,2022,Ferrari,LEC,SAI,19,0.009134240072819823,-0.06781578947368304,0.07695002954650286,19,-0.06781578947368304,0.3418935917360475,21,0.13147619047618958,0.4047319630382099,21,0.14076190476190287,0.2146986038058711,2,0.19929197994987263,0
2022:Haas F1 Team:MAG-MSC,2022,Haas F1 Team,MAG,MSC,15,0.10944738369020114,0.09206666666666384,0.0173807170235373,15,0.09206666666666384,0.4835924297331772,22,0.23831818181817901,0.6405780415162003,22,0.4193636363636344,1.2386389821649146,7,0.1462515151515152,0
2022:McLaren:NOR-RIC,2022,McLaren,NOR,RIC,15,0.258315835132599,0.3322333333333342,0.07391749820073523,15,0.3322333333333342,0.3211845745866093,21,0.4418095238095241,0.25780140012180247,21,0.80452380952381,1.3135497942235608,6,0.10957619047618988,0
2022:Mercedes:HAM-RUS,2022,Mercedes,HAM,RUS,21,-0.002286126650390793,0.01709523809523817,0.019381364745628963,21,0.01709523809523818,0.46971351957995483,22,0.04527272727272769,0.49399731846372447,22,0.12018181818181778,1.057473117360152,1,0.028177489177489513,0
2022:Red Bull Racing:PER-VER,2022,Red Bull Racing,PER,VER,20,-0.36123472881326585,-0.1572250000000004,0.20400972881326546,20,-0.1572250000000004,0.8687077134729314,21,-0.18914285714285756,0.9804752564809743,21,-0.2103333333333341,0.8922901060380163,1,-0.031917857142857164,0
2022:Williams:ALB-LAT,2022,Williams,ALB,LAT,6,0.4462883214593317,0.5944166666666698,0.14812834520733809,6,0.5944166666666698,0.4050785623390474,18,0.6909444444444427,0.8182234321793262,18,0.8973888888888868,1.0325693902840771,12,0.09652777777777288,0
2022:Williams:DEV-LAT,2022,Williams,DEV,LAT,0,,,,0,,,1,0.41100000000000136,,1,0.41100000000000136,,1,,0
2023:Alfa Romeo:BOT-ZHO,2023,Alfa Romeo,BOT,ZHO,17,0.14354821618180036,0.283941176470589,0.14039296028878862,17,0.283941176470589,0.5797302412101069,22,0.2705909090909099,0.4917777913894617,22,0.6440454545454531,1.3967771911242741,5,-0.013350267379679093,0
2023:AlphaTauri:DEV-TSU,2023,AlphaTauri,DEV,TSU,8,-0.24909866319164878,-0.2630624999999984,0.013963836808349644,8,-0.2630624999999984,0.29216561319859924,9,-0.3525555555555542,0.27572047036405645,9,-0.31533333333333263,0.2240334796408769,1,-0.08949305555555576,0
2023:AlphaTauri:LAW-TSU,2023,AlphaTauri,LAW,TSU,4,-0.2904349537010066,-0.5279999999999987,0.2375650462989921,4,-0.5279999999999987,0.29612272230726366,5,-0.5816000000000002,0.6118507170870983,5,-1.026600000000002,1.3049934099450442,1,-0.053600000000001535,0
2023:AlphaTauri:RIC-TSU,2023,AlphaTauri,RIC,TSU,4,-0.23243383394687497,-0.26637500000000175,0.033941166053126776,4,-0.2663750000000018,0.13779173596409838,7,0.06657142857142771,0.47197805639064333,7,-0.361142857142858,2.8050838031789977,3,0.33294642857142953,0
2023:Alpine:GAS-OCO,2023,Alpine,GAS,OCO,17,-0.044249638242716965,-0.018823529411763455,0.02542610883095351,17,-0.01882352941176347,0.4381014772992269,22,0.04400000000000081,0.8175677633193742,22,0.13586363636363785,1.1329187881395013,5,0.06282352941176428,0
2023:Aston Martin:ALO-STR,2023,Aston Martin,ALO,STR,18,0.3380692669392259,0.471277777777776,0.13320851083855012,18,0.471277777777776,0.49809390274095255,22,0.46918181818181764,0.4518642480892884,22,1.1314090909090906,1.7802380969460743,4,-0.0020959595959583743,0
2023:Ferrari:LEC-SAI,2023,Ferrari,LEC,SAI,21,0.09061325172639233,0.11126190476190446,0.020648653035512138,21,0.11126190476190446,0.32240105532735186,22,-0.0011818181818186572,0.49597394673929784,22,0.06431818181818016,0.6523618909750449,1,-0.11244372294372312,0
2023:Haas F1 Team:HUL-MAG,2023,Haas F1 Team,HUL,MAG,10,0.03587711923908452,0.09289999999999876,0.05702288076091424,10,0.09289999999999879,0.38741384705362397,21,0.10523809523809562,1.1517151516222204,21,0.19238095238095201,2.483700535012031,11,0.012338095238096827,0
2023:McLaren:NOR-PIA,2023,McLaren,NOR,PIA,14,0.19758015553423838,0.0796071428571413,0.11797301267709709,14,0.07960714285714131,0.3007334098353704,22,0.07413636363636235,0.8635679748497793,22,0.09336363636363453,1.0565026106137967,8,-0.00547077922077896,0
2023:Mercedes:HAM-RUS,2023,Mercedes,HAM,RUS,19,-0.04950109020368664,0.006868421052631842,0.056369511256318484,19,0.006868421052631839,0.27875262042142823,22,0.011818181818183343,0.3336877120564814,22,-0.20018181818181865,2.0485398199545437,3,0.004949760765551503,0
2023:Red Bull Racing:PER-VER,2023,Red Bull Racing,PER,VER,19,-0.36261142241071975,-0.5433157894736858,0.180704367062966,19,-0.5433157894736858,0.4375441314416928,21,-0.6716666666666682,0.9177750995387356,21,-0.839285714285715,1.0000717545684983,2,-0.12835087719298244,0
2023:Williams:ALB-SAR,2023,Williams,ALB,SAR,13,0.41229837175525225,0.41842307692307984,0.006124705167827593,13,0.41842307692307984,0.43791755531881615,21,0.5544285714285708,0.44497837828691883,21,1.2361428571428572,1.9722514871515313,8,0.136005494505491,0
2024:Alpine:DOO-GAS,2024,Alpine,DOO,GAS,0,,,,0,,,1,-0.5570000000000022,,1,-1.1210000000000093,,1,,0
2024:Alpine:GAS-OCO,2024,Alpine,GAS,OCO,12,-0.02116800912764634,-0.05187499999999664,0.0307069908723503,12,-0.05187499999999664,0.2538363041768881,22,-0.017863636363635103,1.3279235956023883,22,0.0992727272727291,1.3841362849847032,10,0.034011363636361536,0
2024:Aston Martin:ALO-STR,2024,Aston Martin,ALO,STR,17,0.20940759402361503,0.2816764705882323,0.07226887656461728,17,0.2816764705882323,0.3126440638517956,23,0.30304347826086764,0.410718602879137,24,0.32187500000000036,0.4918936180941349,6,0.02136700767263533,0
2024:Ferrari:BEA-LEC,2024,Ferrari,BEA,LEC,1,-0.7360000000000042,-0.7360000000000042,0.0,1,-0.7360000000000042,,1,-0.5300000000000011,,1,-0.8509999999999991,,0,0.20600000000000307,0
2024:Ferrari:LEC-SAI,2024,Ferrari,LEC,SAI,20,0.08668778022113584,0.022324999999998596,0.06436278022113724,20,0.022324999999998596,0.24970478754131453,23,0.02317391304347955,0.2233585890189546,23,0.006869565217391976,0.2565555591693784,3,0.0008489130434809547,0
2024:Haas F1 Team:BEA-HUL,2024,Haas F1 Team,BEA,HUL,1,0.2989999999999924,0.2989999999999924,0.0,1,0.2989999999999924,,1,0.22299999999999898,,1,0.22299999999999898,,0,-0.0759999999999934,0
2024:Haas F1 Team:HUL-MAG,2024,Haas F1 Team,HUL,MAG,15,0.008157173517372695,0.10313333333333077,0.09497615981595808,15,0.10313333333333077,0.3550776809710929,21,0.20033333333333303,0.4675409429486699,21,0.5725714285714286,1.5286827195801165,6,0.09720000000000226,0
2024:Kick Sauber:BOT-ZHO,2024,Kick Sauber,BOT,ZHO,11,0.510871569208494,0.6293636363636371,0.11849206715514315,11,0.6293636363636371,0.48312814505621077,21,0.575380952380953,0.5971456670018201,21,0.3538571428571441,1.3152574381357536,10,-0.05398268398268413,0
2024:McLaren:NOR-PIA,2024,McLaren,NOR,PIA,19,0.09800051821466216,0.12165789473684073,0.023657376522178572,19,0.12165789473684073,0.272923170539887,24,0.09633333333333323,0.6722454046387895,24,-0.004208333333333887,0.7730974953515471,5,-0.0253245614035075,0
2024:Mercedes:HAM-RUS,2024,Mercedes,HAM,RUS,18,-0.11329119962657624,-0.08333333333333176,0.029957866293244484,18,-0.08333333333333176,0.20738781517329435,22,-0.34472727272727094,0.6117470051160022,22,-0.3534999999999968,0.5320601246010394,4,-0.2613939393939392,0
2024:RB:LAW-TSU,2024,RB,LAW,TSU,4,-0.208569515980868,-0.2331249999999958,0.0245554840191278,4,-0.2331249999999958,0.24574728720103728,6,0.2570000000000003,1.1730082693655675,6,0.09999999999999905,1.2318392752303382,2,0.4901249999999961,0
2024:RB:RIC-TSU,2024,RB,RIC,TSU,12,-0.0711692468739806,-0.08033333333333496,0.009164086459354362,12,-0.08033333333333499,0.2150789847869143,18,-0.1422777777777774,0.39801504635401064,18,-0.17438888888888787,0.5715748254128693,6,-0.0619444444444424,0
2024:Red Bull Racing:PER-VER,2024,Red Bull Racing,PER,VER,18,-0.4620537935554433,-0.5069444444444452,0.044890650889001904,18,-0.5069444444444452,0.2941424169308272,22,-0.4668636363636364,0.3319126814969978,22,-0.6097272727272728,0.4745968897835384,4,0.04008080808080877,0
2024:Williams:ALB-COL,2024,Williams,ALB,COL,3,0.2893428739408182,0.2378333333333368,0.05150954060748139,3,0.2378333333333368,0.18789780023548308,8,0.11950000000000216,0.25541115312933793,8,0.0752499999999987,0.46321477585611487,5,-0.11833333333333465,0
2024:Williams:ALB-SAR,2024,Williams,ALB,SAR,5,0.2217175848869595,0.4021000000000029,0.1803824151130434,5,0.4021000000000029,0.41282175330280046,13,0.37969230769230494,0.36947042836457195,13,0.635846153846151,0.645961924336342,8,-0.022407692307697957,0
2025:Alpine:COL-GAS,2025,Alpine,COL,GAS,7,-0.258391245742912,-0.3333571428571399,0.07496589711422791,7,-0.3333571428571399,0.3259798964002883,18,-0.4550555555555557,0.7476062562466204,18,-0.665222222222224,1.0384929440161073,11,-0.1216984126984158,0
2025:Alpine:DOO-GAS,2025,Alpine,DOO,GAS,3,0.2002067604325511,0.10616666666666913,0.09404009376588196,3,0.10616666666666912,0.18075973924890448,6,-0.3058333333333347,0.4847108072517733,6,-0.4515000000000005,0.60915507056906,3,-0.4120000000000038,0
2025:Aston Martin:ALO-STR,2025,Aston Martin,ALO,STR,11,0.22548109853268142,0.3374545454545464,0.11197344692186498,11,0.3374545454545464,0.23671950221152324,23,0.42378260869565093,0.3683841814442382,23,0.7016086956521727,0.8163443869487742,12,0.08632806324110454,0
2025:Ferrari:HAM-LEC,2025,Ferrari,HAM,LEC,20,-0.10304046883118462,-0.11809999999999936,0.015059531168814741,20,-0.11809999999999939,0.13438667697122475,23,-0.175608695652174,0.2204785578381791,23,-0.22256521739130372,0.25545998193756597,3,-0.057508695652174605,0
2025:Haas F1 Team:BEA-OCO,2025,Haas F1 Team,BEA,OCO,14,0.28484096008361404,0.2575714285714267,0.02726953151218736,14,0.2575714285714267,0.4095333111811931,23,0.15804347826086856,0.3570253973982131,23,0.18582608695652178,0.6196094556011535,9,-0.09952795031055811,0
2025:Kick Sauber:BOR-HUL,2025,Kick Sauber,BOR,HUL,10,-0.09281934905968593,-0.04799999999999968,0.04481934905968625,10,-0.04799999999999969,0.1801264987600553,21,0.03133333333333001,0.3043436106333328,21,0.04523809523809334,0.45099522223211075,11,0.0793333333333297,0
2025:McLaren:NOR-PIA,2025,McLaren,NOR,PIA,23,0.033213727325628745,-0.021934782608696607,0.05514850993432535,23,-0.021934782608696586,0.24503739530694826,24,0.0517083333333345,0.2681771768596387,24,0.041416666666667844,0.26948887476700867,1,0.07364311594203109,0
