check_id,year,race_name,faster_driver,slower_driver,pair_present,target_weather_bucket,common_segments,valid_common_segments,chosen_segments,current_construct_n_pairs,current_construct_delta_s,highest_common_segment,highest_common_best_delta_s,any_valid_best_delta_s,phase5_row_present,phase5_delta_s,phase5_n_matched_pairs,phase5_skip_reason
verstappen_perez_quali_2022,2022,Bahrain Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.27000000000001023,Q3,0.2400000000000091,0.2400000000000091,True,0.2700000000000102,3,
verstappen_perez_quali_2022,2022,Saudi Arabian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,-0.2609999999999957,Q3,-0.2609999999999957,-0.2609999999999957,True,-0.2609999999999957,3,
verstappen_perez_quali_2022,2022,Australian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,-0.0010000000000047748,Q3,0.08599999999999852,0.08599999999999852,True,-0.0010000000000047,3,
verstappen_perez_quali_2022,2022,Emilia Romagna Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",4,1.2019999999999982,Q2,0.5030000000000001,0.5030000000000001,True,1.2019999999999982,4,
verstappen_perez_quali_2022,2022,Miami Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2', 'Q1']",4,0.4890000000000043,Q3,0.045000000000001705,0.045000000000001705,True,0.4890000000000043,4,
verstappen_perez_quali_2022,2022,Spanish Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.4130000000000109,Q3,0.3470000000000084,0.3470000000000084,True,0.4130000000000109,3,
verstappen_perez_quali_2022,2022,Monaco Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']",['Q2'],3,-0.3990000000000009,Q2,-0.16300000000001091,-0.16300000000001091,True,-0.3990000000000009,3,
verstappen_perez_quali_2022,2022,Azerbaijan Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,-0.049000000000006594,Q3,-0.06499999999999773,-0.06499999999999773,True,-0.0490000000000065,3,
verstappen_perez_quali_2022,2022,Canadian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']",[],['Q1'],0,,,,,False,,0,
verstappen_perez_quali_2022,2022,British Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']",['Q1'],"['Q3', 'Q2']",0,,Q1,1.391999999999996,1.391999999999996,False,,0,
verstappen_perez_quali_2022,2022,Austrian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.7055000000000007,Q3,0.4200000000000017,0.4200000000000017,True,0.7055000000000007,4,
verstappen_perez_quali_2022,2022,French Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.15899999999999181,Q3,0.15899999999999181,0.15899999999999181,True,0.1589999999999918,3,
verstappen_perez_quali_2022,2022,Hungarian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2']","['Q1', 'Q2']","['Q2', 'Q1']",6,0.67349999999999,Q2,0.8130000000000024,0.8130000000000024,True,0.67349999999999,6,
verstappen_perez_quali_2022,2022,Belgian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2', 'Q1']",3,0.7959999999999923,Q3,0.796999999999997,0.796999999999997,True,0.7959999999999923,3,
verstappen_perez_quali_2022,2022,Dutch Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2', 'Q1']",3,0.5619999999999976,Q3,0.7349999999999994,0.7349999999999994,True,0.5619999999999976,3,
verstappen_perez_quali_2022,2022,Italian Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.5,Q3,0.9000000000000057,0.9000000000000057,True,0.5,3,
verstappen_perez_quali_2022,2022,Singapore Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q2', 'Q3']","['Q3', 'Q2']",3,-3.1850000000000023,Q3,-3.734000000000009,-3.2890000000000015,True,-3.1850000000000023,3,
verstappen_perez_quali_2022,2022,Japanese Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.37700000000000955,Q3,0.40500000000000114,0.40500000000000114,True,0.3770000000000095,3,
verstappen_perez_quali_2022,2022,United States Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",3,0.19700000000000273,Q3,0.19700000000000273,0.19700000000000273,True,0.1970000000000027,3,
verstappen_perez_quali_2022,2022,Mexico City Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2', 'Q3']","['Q3', 'Q2']",4,0.27949999999999875,Q3,0.35299999999999443,0.35299999999999443,True,0.2794999999999987,4,
verstappen_perez_quali_2022,2022,São Paulo Grand Prix,VER,PER,True,dry,"['Q1', 'Q2', 'Q3']","['Q1', 'Q2']","['Q3', 'Q2']",3,0.13800000000000523,Q2,0.5750000000000028,0.5750000000000028,True,0.1380000000000052,3,
