check_id,year,team,race_name,faster_driver,slower_driver,pair_present,target_weather_bucket,current_construct_n_pairs,current_construct_delta_s,valid_reference_laps,valid_comparison_laps,broad_valid_median_delta_s,broad_valid_mean_delta_s,phase5_row_present,phase5_delta_s,phase5_n_matched_pairs,phase5_skip_reason
verstappen_perez_race_2022,2022,Red Bull Racing,Bahrain Grand Prix,VER,PER,True,dry,35,0.4140000000000015,38,41,0.016000000000005343,0.23624197689345294,True,0.4140000000000015,35,
verstappen_perez_race_2022,2022,Red Bull Racing,Saudi Arabian Grand Prix,VER,PER,True,dry,27,0.2150000000000034,31,31,0.30700000000000216,-0.03551612903225987,True,0.2150000000000034,27,
verstappen_perez_race_2022,2022,Red Bull Racing,Australian Grand Prix,VER,PER,True,dry,21,0.11200000000000898,25,38,-0.771499999999989,-0.4319747368420934,True,0.1120000000000089,21,
verstappen_perez_race_2022,2022,Red Bull Racing,Emilia Romagna Grand Prix,VER,PER,True,dry,44,0.41449999999998965,47,48,0.1910000000000025,-0.1922570921985738,True,0.4144999999999896,44,
verstappen_perez_race_2022,2022,Red Bull Racing,Miami Grand Prix,VER,PER,True,dry,32,0.5375000000000014,42,41,0.6725000000000136,0.7202189314750314,True,0.5375000000000014,32,
verstappen_perez_race_2022,2022,Red Bull Racing,Spanish Grand Prix,VER,PER,True,dry,51,0.284000000000006,54,54,0.5414999999999992,0.24077777777776532,True,0.284000000000006,51,
verstappen_perez_race_2022,2022,Red Bull Racing,Monaco Grand Prix,VER,PER,True,dry,28,-0.05849999999999511,29,29,0.3289999999999935,-0.799827586206888,True,-0.0584999999999951,28,
verstappen_perez_race_2022,2022,Red Bull Racing,Azerbaijan Grand Prix,VER,PER,True,dry,36,0.3049999999999997,39,38,0.31349999999999056,0.2701842105263097,True,0.3049999999999997,36,
verstappen_perez_race_2022,2022,Red Bull Racing,Canadian Grand Prix,VER,PER,True,dry,4,,46,5,1.9050000000000011,2.1973173913043524,False,,0,
verstappen_perez_race_2022,2022,Red Bull Racing,British Grand Prix,VER,PER,True,dry,13,-0.882000000000005,35,35,-1.2849999999999966,0.41282857142856244,True,-0.882000000000005,13,
verstappen_perez_race_2022,2022,Red Bull Racing,Austrian Grand Prix,VER,PER,True,dry,17,2.271000000000001,55,18,2.6950000000000074,2.865437373737379,True,2.271000000000001,17,
verstappen_perez_race_2022,2022,Red Bull Racing,French Grand Prix,VER,PER,True,dry,33,0.3930000000000007,40,41,0.5120000000000147,0.5028536585365941,True,0.3930000000000007,33,
verstappen_perez_race_2022,2022,Red Bull Racing,Hungarian Grand Prix,VER,PER,True,dry,32,0.2224999999999966,39,39,0.4300000000000068,0.3394358974359051,True,0.2224999999999966,32,
verstappen_perez_race_2022,2022,Red Bull Racing,Belgian Grand Prix,VER,PER,True,dry,20,1.240000000000002,35,35,0.39800000000001035,0.4815714285714279,True,1.240000000000002,20,
verstappen_perez_race_2022,2022,Red Bull Racing,Dutch Grand Prix,VER,PER,True,dry,30,0.4585000000000079,53,45,0.1490000000000009,0.4232846960167649,True,0.4585000000000079,30,
verstappen_perez_race_2022,2022,Red Bull Racing,Italian Grand Prix,VER,PER,True,dry,3,,37,30,0.8224999999999909,0.8343612612612503,False,,0,
verstappen_perez_race_2022,2022,Red Bull Racing,Singapore Grand Prix,VER,PER,True,dry,18,-2.0359999999999943,35,35,-1.3330000000000126,-1.5470285714285694,True,-2.0359999999999943,18,
verstappen_perez_race_2022,2022,Red Bull Racing,Japanese Grand Prix,VER,PER,True,dry,2,,2,3,0.17249999999999943,0.17283333333332962,True,,2,insufficient_matched_pairs
verstappen_perez_race_2022,2022,Red Bull Racing,United States Grand Prix,VER,PER,True,dry,35,0.5290000000000106,38,41,0.5960000000000036,0.5092792041078269,True,0.5290000000000106,35,
verstappen_perez_race_2022,2022,Red Bull Racing,Mexico City Grand Prix,VER,PER,True,dry,52,0.177500000000002,59,60,0.2815000000000083,0.16867881355932468,True,0.177500000000002,52,
verstappen_perez_race_2022,2022,Red Bull Racing,São Paulo Grand Prix,VER,PER,True,dry,25,-0.12199999999999989,44,45,0.04200000000000159,0.06635808080808658,True,-0.1219999999999998,25,
verstappen_perez_race_2022,2022,Red Bull Racing,Abu Dhabi Grand Prix,VER,PER,True,dry,28,0.2774999999999963,44,46,0.10800000000000409,-0.17821837944663343,True,0.2774999999999963,28,
verstappen_perez_race_2023,2023,Red Bull Racing,Bahrain Grand Prix,VER,PER,True,dry,35,0.15900000000000603,44,44,-0.21299999999999386,0.1990454545454554,True,0.159000000000006,35,
alonso_stroll_race_2023,2023,Aston Martin,Bahrain Grand Prix,ALO,STR,True,dry,37,0.19700000000000273,43,42,-0.07799999999998875,0.17523255813954108,True,0.1970000000000027,37,
albon_sargeant_race_2023,2023,Williams,Bahrain Grand Prix,ALB,SAR,True,dry,42,0.0005000000000023874,46,46,0.5630000000000024,0.09141304347825496,True,0.0005000000000023,42,
verstappen_perez_race_2023,2023,Red Bull Racing,Saudi Arabian Grand Prix,VER,PER,True,dry,40,-0.18299999999999272,41,40,-0.07450000000000045,-0.4107524390243924,True,-0.1829999999999927,40,
alonso_stroll_race_2023,2023,Aston Martin,Saudi Arabian Grand Prix,ALO,STR,True,dry,8,0.6630000000000038,39,11,1.8970000000000056,1.7808904428904384,True,0.6630000000000038,8,
albon_sargeant_race_2023,2023,Williams,Saudi Arabian Grand Prix,ALB,SAR,True,dry,15,-1.1030000000000086,19,39,-1.1119999999999948,-0.8249487179487147,True,-1.1030000000000086,15,
verstappen_perez_race_2023,2023,Red Bull Racing,Australian Grand Prix,VER,PER,True,dry,39,0.31799999999999784,42,42,0.0040000000000048885,0.32750000000000057,True,0.3179999999999978,39,
alonso_stroll_race_2023,2023,Aston Martin,Australian Grand Prix,ALO,STR,True,dry,42,0.21049999999999613,42,42,0.12350000000000705,0.17292857142857088,True,0.2104999999999961,42,
albon_sargeant_race_2023,2023,Williams,Australian Grand Prix,ALB,SAR,True,dry,2,,2,37,0.4989999999999952,0.16770270270271226,False,,0,
verstappen_perez_race_2023,2023,Red Bull Racing,Azerbaijan Grand Prix,VER,PER,True,dry,36,-0.08050000000000068,39,42,0.06499999999999773,0.029009157509150896,True,-0.0805000000000006,36,
alonso_stroll_race_2023,2023,Aston Martin,Azerbaijan Grand Prix,ALO,STR,True,dry,38,0.6670000000000016,41,39,0.42499999999999716,0.5561232020012454,True,0.6670000000000016,38,
albon_sargeant_race_2023,2023,Williams,Azerbaijan Grand Prix,ALB,SAR,True,dry,35,0.15099999999999625,39,38,0.15400000000001057,0.285437921727393,True,0.1509999999999962,35,
verstappen_perez_race_2023,2023,Red Bull Racing,Miami Grand Prix,VER,PER,True,dry,39,-0.6920000000000073,50,49,-0.21099999999999852,0.1726118367346885,True,-0.6920000000000073,39,
alonso_stroll_race_2023,2023,Aston Martin,Miami Grand Prix,ALO,STR,True,dry,36,1.391999999999996,47,50,0.7585000000000122,0.6512761702127534,True,1.391999999999996,36,
albon_sargeant_race_2023,2023,Williams,Miami Grand Prix,ALB,SAR,True,dry,28,1.1310000000000002,49,49,0.8559999999999945,0.36528571428570444,True,1.1310000000000002,28,
verstappen_perez_race_2023,2023,Red Bull Racing,Monaco Grand Prix,VER,PER,True,dry,11,0.06299999999998818,54,46,1.0949999999999989,0.37593880837360416,True,0.0629999999999881,11,
alonso_stroll_race_2023,2023,Aston Martin,Monaco Grand Prix,ALO,STR,True,dry,41,1.6140000000000043,55,41,1.3699999999999903,-0.06314456762750353,True,1.6140000000000043,41,
albon_sargeant_race_2023,2023,Williams,Monaco Grand Prix,ALB,SAR,True,dry,19,0.028000000000005798,52,46,0.242999999999995,0.06430267558528158,True,0.0280000000000057,19,
verstappen_perez_race_2023,2023,Red Bull Racing,Spanish Grand Prix,VER,PER,True,dry,50,0.48799999999999955,56,57,0.23000000000000398,0.36548966165412367,True,0.4879999999999995,50,
