reference_driver_code,comparison_driver_code,team,year,race_name,session_name,session_kind,matched_gap_median_s,matched_gap_se_s,n_matched_pairs,weather_bucket,skip_reason
ALB,LAT,Williams,2022,Bahrain Grand Prix,Race,race,0.1265,0.4606580464637209,24,dry,
ALO,OCO,Alpine,2022,Bahrain Grand Prix,Race,race,-0.3190000000000026,0.1099840350776948,29,dry,
BOT,ZHO,Alfa Romeo,2022,Bahrain Grand Prix,Race,race,0.0870000000000033,0.0683127741429888,37,dry,
GAS,TSU,AlphaTauri,2022,Bahrain Grand Prix,Race,race,0.2240000000000037,0.0837903854848483,19,dry,
HAM,RUS,Mercedes,2022,Bahrain Grand Prix,Race,race,0.198999999999998,0.1057644145040087,35,dry,
HUL,STR,Aston Martin,2022,Bahrain Grand Prix,Race,race,-0.1809999999999973,0.1116769991365116,35,dry,
LEC,SAI,Ferrari,2022,Bahrain Grand Prix,Race,race,0.386499999999998,0.0794999387925411,34,dry,
MAG,MSC,Haas F1 Team,2022,Bahrain Grand Prix,Race,race,1.2890000000000017,0.8854420197767826,27,dry,
NOR,RIC,McLaren,2022,Bahrain Grand Prix,Race,race,0.1949999999999931,0.190963400325859,24,dry,
PER,VER,Red Bull Racing,2022,Bahrain Grand Prix,Race,race,-0.4140000000000015,0.181792017684203,35,dry,
ALO,OCO,Alpine,2022,Bahrain Grand Prix,Qualifying,qualifying,0.3209999999999979,0.1501248515971535,3,dry,
BOT,ZHO,Alfa Romeo,2022,Bahrain Grand Prix,Qualifying,qualifying,0.7685000000000031,0.3681917893183862,4,dry,
HAM,RUS,Mercedes,2022,Bahrain Grand Prix,Qualifying,qualifying,0.1684999999999945,0.2415614217963,4,dry,
LEC,SAI,Ferrari,2022,Bahrain Grand Prix,Qualifying,qualifying,0.0685000000000002,0.141893796549565,4,dry,
MAG,MSC,Haas F1 Team,2022,Bahrain Grand Prix,Qualifying,qualifying,0.4249999999999971,0.0819853972446426,3,dry,
NOR,RIC,McLaren,2022,Bahrain Grand Prix,Qualifying,qualifying,0.4899999999999949,0.1964957305085911,3,dry,
PER,VER,Red Bull Racing,2022,Bahrain Grand Prix,Qualifying,qualifying,-0.2700000000000102,0.1601788527392493,3,dry,
GAS,TSU,AlphaTauri,2022,Bahrain Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
HUL,STR,Aston Martin,2022,Bahrain Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
ALB,LAT,Williams,2022,Bahrain Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
ALB,LAT,Williams,2022,Saudi Arabian Grand Prix,Race,race,-0.1064999999999969,0.1523947923404266,8,dry,
ALO,OCO,Alpine,2022,Saudi Arabian Grand Prix,Race,race,0.1835000000000022,0.0991111345510278,24,dry,
BOT,ZHO,Alfa Romeo,2022,Saudi Arabian Grand Prix,Race,race,0.3345000000000055,0.1945822176752932,20,dry,
HAM,RUS,Mercedes,2022,Saudi Arabian Grand Prix,Race,race,-1.4350000000000025,0.2346607590178261,21,dry,
HUL,STR,Aston Martin,2022,Saudi Arabian Grand Prix,Race,race,-0.3729999999999904,0.4624560891862341,23,dry,
LEC,SAI,Ferrari,2022,Saudi Arabian Grand Prix,Race,race,0.2510000000000048,0.0735975469354458,29,dry,
NOR,RIC,McLaren,2022,Saudi Arabian Grand Prix,Race,race,1.208999999999989,0.2158715055464852,11,dry,
PER,VER,Red Bull Racing,2022,Saudi Arabian Grand Prix,Race,race,-0.2150000000000034,0.1349481698451101,27,dry,
GAS,TSU,AlphaTauri,2022,Saudi Arabian Grand Prix,Race,race,,,0,,missing_lap_time_data
MAG,MSC,Haas F1 Team,2022,Saudi Arabian Grand Prix,Race,race,,,0,,missing_lap_time_data
ALO,OCO,Alpine,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,0.2535000000000025,0.1319289389735567,4,dry,
BOT,ZHO,Alfa Romeo,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,0.5120000000000005,0.0659833861380775,5,dry,
HAM,RUS,Mercedes,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,-0.8549999999999898,0.5146544474696627,3,dry,
HUL,STR,Aston Martin,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,-0.3810000000000002,0.0634315101544959,3,dry,
LEC,SAI,Ferrari,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,0.0560000000000044,0.1418263579727538,4,dry,
MAG,MSC,Haas F1 Team,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,0.0600000000000022,0.1564131101443414,3,dry,
NOR,RIC,McLaren,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,0.1269999999999953,0.0642900753599602,5,dry,
PER,VER,Red Bull Racing,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,0.2609999999999957,0.2419866194399819,3,dry,
GAS,TSU,AlphaTauri,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,,,0,,missing_lap_time_data
ALB,LAT,Williams,2022,Saudi Arabian Grand Prix,Qualifying,qualifying,,,0,,insufficient_matched_pairs
ALB,LAT,Williams,2022,Australian Grand Prix,Race,race,-1.1099999999999994,0.3253188352502352,19,dry,
ALO,OCO,Alpine,2022,Australian Grand Prix,Race,race,-1.1169999999999902,0.1619849292876226,23,dry,
BOT,ZHO,Alfa Romeo,2022,Australian Grand Prix,Race,race,0.2249999999999943,0.1844323303497203,38,dry,
GAS,TSU,AlphaTauri,2022,Australian Grand Prix,Race,race,0.2814999999999941,0.1260019567034311,30,dry,
HAM,RUS,Mercedes,2022,Australian Grand Prix,Race,race,0.0159999999999982,0.055426179835536,36,dry,
MAG,MSC,Haas F1 Team,2022,Australian Grand Prix,Race,race,-0.596500000000006,0.4856266245442221,24,dry,
