year,race_name,session_name,session_kind,team,reference_driver_code,comparison_driver_code,raw_laps,reference_raw_laps,comparison_raw_laps,missing_lap_time_laps,pit_laps,deleted_laps,inaccurate_laps,lap1_laps,final_driver_laps,non_green_laps,sc_vsc_laps,large_position_change_laps,stint_outlier_laps,lap_level_weather_unreliable_laps,weather_mode_excluded_laps,non_quick_qualifying_laps,valid_laps,candidate_matched_pairs,matched_pair_rows,skip_reason
2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,114,57,57,1,12,0,22,2,2,16,12,7,8,0,0,0,82,37,37,
2022,Bahrain Grand Prix,Race,race,AlphaTauri,GAS,TSU,102,45,57,1,10,0,18,2,2,10,7,4,8,0,0,0,74,19,19,
2022,Bahrain Grand Prix,Race,race,Alpine,ALO,OCO,114,57,57,0,12,0,26,2,2,16,12,9,9,0,0,0,75,29,29,
2022,Bahrain Grand Prix,Race,race,Aston Martin,HUL,STR,114,57,57,0,12,0,24,2,2,20,14,5,8,0,0,0,77,35,35,
2022,Bahrain Grand Prix,Race,race,Ferrari,LEC,SAI,114,57,57,2,12,0,22,2,2,16,11,0,11,0,0,0,80,34,34,
2022,Bahrain Grand Prix,Race,race,Haas F1 Team,MAG,MSC,114,57,57,0,10,0,22,2,2,17,12,3,5,0,0,0,85,27,27,
2022,Bahrain Grand Prix,Race,race,McLaren,NOR,RIC,114,57,57,0,12,0,24,2,2,20,14,3,10,0,0,0,76,24,24,
2022,Bahrain Grand Prix,Race,race,Mercedes,HAM,RUS,114,57,57,1,12,0,23,2,2,17,12,4,4,0,0,0,84,35,35,
2022,Bahrain Grand Prix,Race,race,Red Bull Racing,PER,VER,111,57,54,2,13,0,27,2,2,15,11,1,4,0,0,0,79,35,35,
2022,Bahrain Grand Prix,Race,race,Williams,ALB,LAT,114,57,57,0,12,0,24,2,2,20,14,1,10,0,0,0,78,24,24,
2022,Bahrain Grand Prix,Qualifying,qualifying,Alfa Romeo,BOT,ZHO,27,15,12,10,18,0,18,2,2,1,0,0,0,0,0,0,9,4,4,
2022,Bahrain Grand Prix,Qualifying,qualifying,AlphaTauri,GAS,TSU,29,21,8,11,20,0,20,2,2,2,0,0,0,0,0,0,8,2,0,insufficient_matched_pairs
2022,Bahrain Grand Prix,Qualifying,qualifying,Alpine,ALO,OCO,26,14,12,10,18,0,18,2,2,1,0,0,0,0,0,0,8,3,3,
2022,Bahrain Grand Prix,Qualifying,qualifying,Aston Martin,HUL,STR,12,6,6,4,8,0,8,2,2,0,0,0,0,0,0,0,4,2,0,insufficient_matched_pairs
2022,Bahrain Grand Prix,Qualifying,qualifying,Ferrari,LEC,SAI,30,15,15,10,20,0,20,2,2,2,0,0,0,0,0,0,10,4,4,
2022,Bahrain Grand Prix,Qualifying,qualifying,Haas F1 Team,MAG,MSC,23,12,11,9,16,0,16,2,2,1,0,0,0,0,0,0,7,3,3,
2022,Bahrain Grand Prix,Qualifying,qualifying,McLaren,NOR,RIC,22,14,8,6,12,0,12,2,2,0,0,0,2,0,0,2,8,3,3,
2022,Bahrain Grand Prix,Qualifying,qualifying,Mercedes,HAM,RUS,34,17,17,12,20,0,20,2,2,2,0,0,2,0,0,2,12,4,4,
2022,Bahrain Grand Prix,Qualifying,qualifying,Red Bull Racing,PER,VER,32,18,14,11,20,0,20,2,2,2,0,0,1,0,0,1,11,3,3,
2022,Bahrain Grand Prix,Qualifying,qualifying,Williams,ALB,LAT,21,13,8,8,16,0,16,2,2,0,0,0,0,0,0,0,5,2,0,insufficient_matched_pairs
2022,Saudi Arabian Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,86,36,50,7,8,0,20,2,2,17,14,4,9,0,0,0,55,20,20,
2022,Saudi Arabian Grand Prix,Race,race,AlphaTauri,GAS,TSU,50,50,0,2,2,0,10,1,1,12,8,2,4,0,0,0,31,0,0,missing_lap_time_data
2022,Saudi Arabian Grand Prix,Race,race,Alpine,ALO,OCO,86,36,50,7,4,0,16,2,2,18,13,0,9,0,0,0,57,24,24,
2022,Saudi Arabian Grand Prix,Race,race,Aston Martin,HUL,STR,99,50,49,5,4,0,21,2,2,25,16,3,8,0,0,0,63,23,23,
2022,Saudi Arabian Grand Prix,Race,race,Ferrari,LEC,SAI,100,50,50,6,4,0,20,2,2,26,18,0,9,0,0,0,63,29,29,
2022,Saudi Arabian Grand Prix,Race,race,Haas F1 Team,MAG,MSC,50,50,0,2,2,0,10,1,1,12,8,1,3,0,0,0,34,0,0,missing_lap_time_data
2022,Saudi Arabian Grand Prix,Race,race,McLaren,NOR,RIC,86,50,36,5,5,0,18,2,2,19,14,3,8,0,0,0,54,11,11,
2022,Saudi Arabian Grand Prix,Race,race,Mercedes,HAM,RUS,100,50,50,5,4,0,19,2,2,24,16,2,7,0,0,0,69,21,21,
2022,Saudi Arabian Grand Prix,Race,race,Red Bull Racing,PER,VER,100,50,50,6,4,0,21,2,2,26,18,0,9,0,0,0,62,27,27,
2022,Saudi Arabian Grand Prix,Race,race,Williams,ALB,LAT,63,48,15,3,2,0,14,2,2,12,9,1,7,0,0,0,40,8,8,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Alfa Romeo,BOT,ZHO,39,22,17,12,16,0,17,2,2,3,0,0,6,0,0,8,14,5,5,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,AlphaTauri,GAS,TSU,24,22,2,9,14,0,14,2,2,3,0,0,0,0,0,4,6,0,0,missing_lap_time_data
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Alpine,ALO,OCO,39,20,19,10,20,0,20,2,2,0,0,0,2,0,0,8,11,4,4,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Aston Martin,HUL,STR,25,10,15,9,16,0,17,2,2,6,0,0,0,1,0,0,7,3,3,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Ferrari,LEC,SAI,44,22,22,16,25,0,25,2,2,4,0,0,0,0,0,9,10,4,4,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Haas F1 Team,MAG,MSC,37,24,13,15,22,0,22,2,2,4,0,0,1,0,0,5,10,3,3,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,McLaren,NOR,RIC,33,16,17,14,18,0,20,2,2,4,0,0,2,0,0,3,10,5,5,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Mercedes,HAM,RUS,32,11,21,10,15,0,15,2,2,3,0,0,3,0,0,7,10,3,3,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Red Bull Racing,PER,VER,41,19,22,14,23,0,24,2,2,2,0,0,1,0,0,5,11,3,3,
2022,Saudi Arabian Grand Prix,Qualifying,qualifying,Williams,ALB,LAT,13,9,4,5,6,0,6,2,2,2,0,0,1,0,0,3,4,1,0,insufficient_matched_pairs
2022,Australian Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,116,58,58,1,4,0,25,2,2,22,20,4,8,0,0,0,81,38,38,
2022,Australian Grand Prix,Race,race,AlphaTauri,GAS,TSU,115,58,57,2,4,0,26,2,2,22,20,3,10,0,0,0,77,30,30,
2022,Australian Grand Prix,Race,race,Alpine,ALO,OCO,115,57,58,1,6,0,26,2,2,22,20,4,13,0,0,0,74,23,23,
2022,Australian Grand Prix,Race,race,Aston Martin,STR,VET,81,58,23,2,5,0,17,2,2,17,15,1,5,0,0,0,56,15,15,
2022,Australian Grand Prix,Race,race,Ferrari,LEC,SAI,60,58,2,3,2,0,14,2,2,12,11,0,3,0,0,0,42,0,0,teammate_dnf_no_matched_laps
2022,Australian Grand Prix,Race,race,Haas F1 Team,MAG,MSC,114,57,57,2,4,0,24,2,2,22,20,3,8,0,0,0,78,24,24,
2022,Australian Grand Prix,Race,race,McLaren,NOR,RIC,116,58,58,2,4,0,26,2,2,22,20,2,12,0,0,0,76,35,35,
2022,Australian Grand Prix,Race,race,Mercedes,HAM,RUS,116,58,58,2,4,0,23,2,2,22,20,0,8,0,0,0,81,36,36,
2022,Australian Grand Prix,Race,race,Red Bull Racing,PER,VER,97,58,39,4,4,0,25,2,2,21,19,2,6,0,0,0,63,21,21,
2022,Australian Grand Prix,Race,race,Williams,ALB,LAT,115,58,57,0,6,0,26,2,2,22,20,2,7,0,0,0,81,19,19,
2022,Australian Grand Prix,Qualifying,qualifying,Alfa Romeo,BOT,ZHO,29,13,16,7,14,0,14,2,2,7,0,0,4,0,0,4,8,4,4,
2022,Australian Grand Prix,Qualifying,qualifying,AlphaTauri,GAS,TSU,36,19,17,10,20,0,20,2,2,10,0,0,3,0,0,4,8,3,3,
2022,Australian Grand Prix,Qualifying,qualifying,Alpine,ALO,OCO,38,15,23,12,22,0,22,2,2,11,0,0,3,0,0,4,10,3,3,
2022,Australian Grand Prix,Qualifying,qualifying,Aston Martin,STR,VET,5,2,3,2,4,0,4,2,2,2,0,0,0,0,0,0,1,0,0,insufficient_matched_pairs
2022,Australian Grand Prix,Qualifying,qualifying,Ferrari,LEC,SAI,43,21,22,11,20,0,21,2,2,13,0,0,3,0,0,7,8,3,3,
2022,Australian Grand Prix,Qualifying,qualifying,Haas F1 Team,MAG,MSC,30,11,19,10,16,0,16,2,2,8,0,0,3,0,0,1,10,4,4,
2022,Australian Grand Prix,Qualifying,qualifying,McLaren,NOR,RIC,42,20,22,13,23,0,23,2,2,13,0,0,1,0,0,3,11,3,3,
2022,Australian Grand Prix,Qualifying,qualifying,Mercedes,HAM,RUS,54,28,26,12,24,0,24,2,2,10,0,0,5,0,0,14,14,4,4,
2022,Australian Grand Prix,Qualifying,qualifying,Red Bull Racing,PER,VER,42,21,21,9,18,0,18,2,2,13,0,0,7,0,0,5,14,3,3,
2022,Australian Grand Prix,Qualifying,qualifying,Williams,ALB,LAT,19,11,8,6,10,0,10,2,2,7,0,0,2,0,0,1,5,1,0,insufficient_matched_pairs
2022,Emilia Romagna Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,125,63,62,0,5,0,12,2,2,12,8,1,11,0,0,0,97,45,45,
2022,Emilia Romagna Grand Prix,Race,race,AlphaTauri,GAS,TSU,125,62,63,1,4,0,12,2,2,14,8,2,10,0,0,0,96,45,45,
2022,Emilia Romagna Grand Prix,Race,race,Alpine,ALO,OCO,68,6,62,0,3,0,11,2,2,11,8,2,6,0,0,0,46,0,0,insufficient_matched_pairs
2022,Emilia Romagna Grand Prix,Race,race,Aston Martin,STR,VET,125,62,63,0,4,0,12,2,2,13,8,2,14,0,0,0,93,43,43,
2022,Emilia Romagna Grand Prix,Race,race,Ferrari,LEC,SAI,64,63,1,1,6,0,11,2,2,7,5,1,6,0,0,0,45,0,0,missing_lap_time_data
2022,Emilia Romagna Grand Prix,Race,race,Haas F1 Team,MAG,MSC,125,63,62,1,6,0,14,2,2,12,8,1,14,0,0,0,94,35,35,
2022,Emilia Romagna Grand Prix,Race,race,McLaren,NOR,RIC,125,63,62,1,8,0,14,2,2,13,8,2,12,0,0,0,93,14,14,
2022,Emilia Romagna Grand Prix,Race,race,Mercedes,HAM,RUS,125,62,63,0,4,0,12,2,2,13,8,1,11,0,0,0,96,46,46,
2022,Emilia Romagna Grand Prix,Race,race,Red Bull Racing,PER,VER,126,63,63,0,8,0,16,2,2,13,8,0,10,0,0,0,95,44,44,
2022,Emilia Romagna Grand Prix,Race,race,Williams,ALB,LAT,124,62,62,2,4,0,12,2,2,13,8,3,12,0,0,0,94,43,43,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Alfa Romeo,BOT,ZHO,39,23,16,15,18,0,18,2,2,8,0,0,3,3,0,7,10,4,4,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,AlphaTauri,GAS,TSU,22,11,11,6,10,0,10,2,2,4,0,0,3,0,0,4,6,3,3,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Alpine,ALO,OCO,34,25,9,14,19,0,19,2,2,8,0,0,0,4,0,4,8,2,0,insufficient_matched_pairs
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Aston Martin,STR,VET,38,13,25,17,22,0,22,2,2,10,0,0,2,4,0,5,9,3,3,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Ferrari,LEC,SAI,34,21,13,14,17,0,17,2,2,9,0,0,4,4,0,5,8,3,3,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Haas F1 Team,MAG,MSC,37,21,16,15,20,0,20,2,2,9,0,0,1,3,0,5,8,4,4,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,McLaren,NOR,RIC,43,22,21,21,26,0,26,2,2,13,0,0,4,7,0,3,8,3,3,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Mercedes,HAM,RUS,29,14,15,7,15,0,15,2,2,3,0,0,2,0,0,4,10,5,5,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Red Bull Racing,PER,VER,46,24,22,22,25,0,25,2,2,12,0,0,3,6,0,6,9,4,4,
2022,Emilia Romagna Grand Prix,Qualifying,qualifying,Williams,ALB,LAT,16,3,13,6,11,0,11,2,2,3,0,0,1,0,0,2,3,0,0,insufficient_matched_pairs
2022,Miami Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,63,57,6,2,3,0,12,2,2,11,7,1,4,0,0,0,43,3,0,insufficient_matched_pairs
2022,Miami Grand Prix,Race,race,AlphaTauri,GAS,TSU,102,45,57,6,9,0,19,2,2,19,13,4,9,0,0,0,69,24,24,
2022,Miami Grand Prix,Race,race,Alpine,ALO,OCO,114,57,57,2,4,0,18,2,2,23,14,1,11,0,0,0,76,20,20,
2022,Miami Grand Prix,Race,race,Aston Martin,STR,VET,111,57,54,2,7,0,17,2,2,23,14,3,9,0,0,0,78,35,35,
2022,Miami Grand Prix,Race,race,Ferrari,LEC,SAI,114,57,57,5,4,0,18,2,2,20,12,0,5,0,0,0,83,35,35,
2022,Miami Grand Prix,Race,race,Haas F1 Team,MAG,MSC,114,57,57,3,9,0,23,2,2,24,14,5,11,0,0,0,73,25,25,
2022,Miami Grand Prix,Race,race,McLaren,NOR,RIC,97,40,57,2,6,0,14,2,2,14,8,2,6,0,0,0,73,21,21,
2022,Miami Grand Prix,Race,race,Mercedes,HAM,RUS,114,57,57,4,4,0,18,2,2,22,14,0,13,0,0,0,76,24,24,
2022,Miami Grand Prix,Race,race,Red Bull Racing,PER,VER,114,57,57,6,6,0,19,2,2,21,13,0,4,0,0,0,83,32,32,
2022,Miami Grand Prix,Race,race,Williams,ALB,LAT,114,57,57,3,4,0,21,2,2,23,15,1,7,0,0,0,77,23,23,
2022,Miami Grand Prix,Qualifying,qualifying,Alfa Romeo,BOT,ZHO,29,20,9,9,14,0,14,2,2,0,0,0,1,0,0,6,9,2,0,insufficient_matched_pairs
2022,Miami Grand Prix,Qualifying,qualifying,AlphaTauri,GAS,TSU,43,22,21,15,24,0,24,2,2,0,0,0,3,0,0,4,15,4,4,
2022,Miami Grand Prix,Qualifying,qualifying,Alpine,ALO,OCO,14,14,0,5,8,0,8,1,1,0,0,0,1,0,0,1,5,0,0,missing_lap_time_data
2022,Miami Grand Prix,Qualifying,qualifying,Aston Martin,STR,VET,36,21,15,13,24,0,24,2,2,0,0,0,0,0,0,0,12,5,5,
2022,Miami Grand Prix,Qualifying,qualifying,Ferrari,LEC,SAI,50,25,25,10,32,0,32,2,2,0,0,0,0,0,0,2,14,4,4,
2022,Miami Grand Prix,Qualifying,qualifying,Haas F1 Team,MAG,MSC,30,11,19,5,10,0,10,2,2,0,0,0,3,0,0,10,10,3,3,
2022,Miami Grand Prix,Qualifying,qualifying,McLaren,NOR,RIC,37,22,15,13,20,0,20,2,2,0,0,0,2,0,0,6,11,4,4,
2022,Miami Grand Prix,Qualifying,qualifying,Mercedes,HAM,RUS,36,21,15,9,18,0,18,2,2,0,0,0,2,0,0,8,10,3,3,
2022,Miami Grand Prix,Qualifying,qualifying,Red Bull Racing,PER,VER,38,21,17,13,21,0,21,2,2,0,0,0,0,0,0,5,11,4,4,
2022,Miami Grand Prix,Qualifying,qualifying,Williams,ALB,LAT,20,10,10,6,8,0,8,2,2,0,0,0,4,0,0,4,8,4,4,
2022,Spanish Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,94,66,28,0,7,0,9,2,2,7,0,0,7,0,0,0,73,21,21,
2022,Spanish Grand Prix,Race,race,AlphaTauri,GAS,TSU,130,65,65,0,12,0,14,2,2,6,0,2,12,0,0,0,100,44,44,
2022,Spanish Grand Prix,Race,race,Alpine,ALO,OCO,131,65,66,0,12,0,14,2,2,6,0,3,10,0,0,0,102,42,42,
2022,Spanish Grand Prix,Race,race,Aston Martin,STR,VET,130,65,65,0,10,0,12,2,2,7,0,4,13,0,0,0,99,38,38,
2022,Spanish Grand Prix,Race,race,Ferrari,LEC,SAI,93,27,66,0,9,0,11,2,2,6,0,4,9,0,0,0,69,18,18,
2022,Spanish Grand Prix,Race,race,Haas F1 Team,MAG,MSC,129,64,65,0,8,0,9,2,2,6,0,1,13,0,0,0,103,22,22,
2022,Spanish Grand Prix,Race,race,McLaren,NOR,RIC,131,66,65,0,12,0,14,2,2,6,0,2,8,0,0,0,105,45,45,
2022,Spanish Grand Prix,Race,race,Mercedes,HAM,RUS,132,66,66,0,12,0,13,2,2,6,0,1,10,0,0,0,105,39,39,
2022,Spanish Grand Prix,Race,race,Red Bull Racing,PER,VER,132,66,66,0,12,0,14,2,2,6,0,0,5,0,0,0,108,51,51,
2022,Spanish Grand Prix,Race,race,Williams,ALB,LAT,128,64,64,0,14,0,16,2,2,8,0,4,10,0,0,0,93,38,38,
2022,Spanish Grand Prix,Qualifying,qualifying,Alfa Romeo,BOT,ZHO,33,18,15,12,22,0,22,2,2,0,0,0,0,0,0,0,11,4,4,
2022,Spanish Grand Prix,Qualifying,qualifying,AlphaTauri,GAS,TSU,30,15,15,10,20,0,20,2,2,0,0,0,0,0,0,0,10,5,5,
2022,Spanish Grand Prix,Qualifying,qualifying,Alpine,ALO,OCO,14,5,9,5,10,0,10,2,2,0,0,0,0,0,0,0,4,1,0,insufficient_matched_pairs
2022,Spanish Grand Prix,Qualifying,qualifying,Aston Martin,STR,VET,12,6,6,4,8,0,8,2,2,0,0,0,0,0,0,0,4,2,0,insufficient_matched_pairs
2022,Spanish Grand Prix,Qualifying,qualifying,Ferrari,LEC,SAI,26,11,15,9,16,0,16,2,2,0,0,0,0,0,0,2,8,3,3,
2022,Spanish Grand Prix,Qualifying,qualifying,Haas F1 Team,MAG,MSC,36,18,18,14,24,0,24,2,2,0,0,0,0,0,0,0,12,4,4,
2022,Spanish Grand Prix,Qualifying,qualifying,McLaren,NOR,RIC,27,12,15,9,18,0,18,2,2,0,0,0,0,0,0,0,9,4,4,
2022,Spanish Grand Prix,Qualifying,qualifying,Mercedes,HAM,RUS,29,15,14,12,20,0,20,2,2,0,0,0,0,0,0,0,9,3,3,
2022,Spanish Grand Prix,Qualifying,qualifying,Red Bull Racing,PER,VER,32,17,15,11,21,0,21,2,2,0,0,0,0,0,0,1,9,3,3,
2022,Spanish Grand Prix,Qualifying,qualifying,Williams,ALB,LAT,15,6,9,4,8,0,8,2,2,0,0,0,0,0,0,2,5,2,0,insufficient_matched_pairs
2022,Monaco Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,127,64,63,2,10,0,20,2,2,28,12,1,9,6,0,0,81,12,12,
2022,Monaco Grand Prix,Race,race,AlphaTauri,GAS,TSU,127,64,63,3,16,0,25,2,2,28,12,2,6,7,0,0,80,7,0,insufficient_matched_pairs
2022,Monaco Grand Prix,Race,race,Alpine,ALO,OCO,128,64,64,2,10,0,20,2,2,28,12,0,8,4,0,0,82,41,41,
2022,Monaco Grand Prix,Race,race,Aston Martin,STR,VET,128,64,64,2,14,0,22,2,2,27,13,4,3,7,0,0,85,7,0,insufficient_matched_pairs
2022,Monaco Grand Prix,Race,race,Ferrari,LEC,SAI,128,64,64,4,12,0,22,2,2,29,12,0,7,4,0,0,84,39,39,
2022,Monaco Grand Prix,Race,race,Haas F1 Team,MAG,MSC,45,20,25,2,7,0,10,2,2,16,3,1,4,4,0,0,22,0,0,insufficient_matched_pairs
