row_type,year,race_name,session_name,session_kind,team,reference_driver_code,comparison_driver_code,reference_lap_number,comparison_lap_number,reference_lap_time_s,comparison_lap_time_s,matched_gap_s,compound,reference_stint,comparison_stint,stint_lap_index,weather_bucket,track_status_bucket,reference_position_start,reference_position_end,comparison_position_start,comparison_position_end,skip_reason
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,16.0,17.0,100.259,98.348,-1.9110000000000016,MEDIUM,2.0,2.0,2.0,dry,green,17.0,16.0,18.0,16.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,38.0,39.0,96.641,96.685,0.0439999999999969,MEDIUM,3.0,3.0,2.0,dry,green,13.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,39.0,18.0,97.067,99.814,2.747,MEDIUM,3.0,2.0,3.0,dry,green,12.0,12.0,16.0,15.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,18.0,19.0,98.901,98.63,-0.2710000000000008,MEDIUM,2.0,2.0,4.0,dry,green,13.0,13.0,15.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,40.0,41.0,97.497,96.745,-0.7519999999999953,MEDIUM,3.0,3.0,4.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,19.0,20.0,98.831,98.954,0.1229999999999904,MEDIUM,2.0,2.0,5.0,dry,green,13.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,41.0,42.0,97.687,97.522,-0.164999999999992,MEDIUM,3.0,3.0,5.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,20.0,21.0,98.96,99.047,0.0870000000000033,MEDIUM,2.0,2.0,6.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,42.0,43.0,97.498,97.667,0.1689999999999969,MEDIUM,3.0,3.0,6.0,dry,green,12.0,11.0,13.0,12.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,21.0,22.0,99.279,99.351,0.0720000000000027,MEDIUM,2.0,2.0,7.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,22.0,23.0,99.774,99.304,-0.4699999999999988,MEDIUM,2.0,2.0,8.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,23.0,24.0,99.339,99.582,0.242999999999995,MEDIUM,2.0,2.0,9.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,24.0,25.0,99.65,99.849,0.198999999999998,MEDIUM,2.0,2.0,10.0,dry,green,12.0,12.0,13.0,13.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,25.0,26.0,100.341,99.742,-0.5989999999999895,MEDIUM,2.0,2.0,11.0,dry,green,12.0,12.0,13.0,12.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,26.0,27.0,99.777,100.07,0.2929999999999921,MEDIUM,2.0,2.0,12.0,dry,green,12.0,11.0,12.0,12.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,27.0,28.0,100.338,100.004,-0.333999999999989,MEDIUM,2.0,2.0,13.0,dry,green,11.0,11.0,12.0,12.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,28.0,29.0,99.88,100.446,0.5660000000000025,MEDIUM,2.0,2.0,14.0,dry,green,11.0,11.0,12.0,12.0,
matched_pair,2022,Bahrain Grand Prix,Race,race,Alfa Romeo,BOT,ZHO,30.0,31.0,99.268,99.748,0.480000000000004,MEDIUM,2.0,2.0,16.0,dry,green,10.0,10.0,11.0,10.0,
